,title,median,mean,my_status
22,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),9.0,7.725461133069829,12144
29,Fate/stay night Movie: Heaven&#039;s Feel - I. Presage Flower,9.0,7.697314049586777,1936
33,Mononoke Hime,9.0,7.794404020310946,38206
36,Kizumonogatari II: Nekketsu-hen,9.0,7.79918805277657,6897
37,Kizumonogatari III: Reiketsu-hen,9.0,7.997804054054054,5920
44,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,9.0,8.235176131377711,7977
100,Evangelion: 2.0 You Can (Not) Advance,9.0,7.659501426006127,18934
105,Kara no Kyoukai 5: Mujun Rasen,9.0,7.796775300171527,14575
108,Mahou Shoujo Lyrical Nanoha: Reflection,8.0,6.601503759398496,266
124,The Last: Naruto the Movie,8.0,6.809972636059593,9867
126,K: Missing Kings,8.0,6.752566735112937,7792
167,Lupin III vs. Detective Conan: The Movie,8.0,6.957095709570957,1212
187,Persona 3 the Movie 1: Spring of Birth,8.0,6.79039026437264,4766
204,Rakuen Tsuihou,8.0,6.825918320784851,4383
213,Naruto: Shippuuden Movie 6 - Road to Ninja,8.0,6.629604298974108,10235
235,New Initial D Movie: Legend 1 - Kakusei,8.0,6.769078295341923,1009
255,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,8.0,6.766135522291968,6213
263,Macross Plus Movie Edition,8.0,6.701469450889404,1293
266,Sennen Joyuu,8.0,7.560459324847814,7228
273,Ouritsu Uchuugun: Honneamise no Tsubasa,8.0,6.885446009389671,2130
283,Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,8.0,7.200652528548124,613
284,Boruto: Naruto the Movie,8.0,6.89151157512483,8812
293,Lupin the IIIrd: Jigen Daisuke no Bohyou,8.0,6.996478873239437,852
311,Mobile Suit Gundam III: Encounters in Space,8.0,6.871918542336549,1866
312,Macross: Do You Remember Love?,8.0,7.180240793201133,2824
323,Aoki Hagane no Arpeggio: Ars Nova Cadenza,8.0,6.94541910331384,1026
330,Garo Movie: Divine Flame,8.0,6.687975646879757,657
350,Lupin III: Cagliostro no Shiro,8.0,7.282645324347094,4748
359,Psycho-Pass Movie,8.0,7.034985816560853,7403
363,Detective Conan Movie 18: The Sniper from Another Dimension,8.0,6.8497267759562845,1464
407,Persona 3 the Movie 2: Midsummer Knight&#039;s Dream,8.0,6.7152917505030185,2982
422,Gintama: Yorinuki Gintama-san on Theater 2D,8.0,6.889087656529517,1118
424,Tiger & Bunny Movie 2: The Rising,8.0,6.781115879828326,1165
425,Urusei Yatsura Movie 2: Beautiful Dreamer,8.0,6.62358276643991,882
432,Tales of Vesperia: The First Strike,8.0,6.935763888888889,4032
438,Evangelion: 1.0 You Are (Not) Alone,8.0,7.300141727243633,21873
454,Detective Conan Movie 13: The Raven Chaser,8.0,6.905414908579465,2844
483,Macross F Movie 2: Sayonara no Tsubasa,8.0,7.072523829258185,2413
486,Kara no Kyoukai 1: Fukan Fuukei,8.0,6.913259457393963,20936
491,Gintama Movie 1: Shinyaku Benizakura-hen,8.0,7.531740421320515,7073
495,Fate/stay night Movie: Unlimited Blade Works,8.0,6.794446835987946,13938
501,Detective Conan Movie 14: The Lost Ship in the Sky,8.0,6.876323751891074,2644
509,Higashi no Eden Movie II: Paradise Lost,8.0,6.8833925655556625,10411
510,Redline,8.0,7.589587043161197,11793
512,Break Blade 1: Kakusei no Toki,8.0,6.822323743672058,8099
519,Macross F Movie 1: Itsuwari no Utahime,8.0,7.04516129032258,3100
532,Trigun: Badlands Rumble,8.0,7.231857479696097,7634
533,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,8.0,7.025447584731449,8881
534,One Piece Film: Strong World,8.0,7.350397175639894,11330
540,Kara no Kyoukai 4: Garan no Dou,8.0,7.150700170134799,15282
544,Evangelion: 3.0 You Can (Not) Redo,8.0,6.65216676260176,12161
562,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),8.0,7.113899503792847,17533
563,Kara no Kyoukai 3: Tsuukaku Zanryuu,8.0,7.323081645181093,16290
582,Kara no Kyoukai 6: Boukyaku Rokuon,8.0,6.871519521362276,13037
587,Major Movie: Yuujou no Winning Shot,8.0,7.184898929845422,1682
588,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,8.0,7.17719372615515,2359
590,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,8.0,7.258282208588957,1630
593,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.0,7.376752546434991,8345
595,Ghost in the Shell 2.0,8.0,6.815697781037961,5453
609,Mahou Shoujo Lyrical Nanoha: The Movie 1st,8.0,7.153769511790103,3011
614,Towa no Quon 4: Guren no Shoushin,8.0,6.7970032108455225,2803
616,Towa no Quon 5: Souzetsu no Raifuku,8.0,6.701308411214954,2675
617,Towa no Quon 6: Towa no Quon,8.0,6.789935188715211,2623
627,Toshokan Sensou: Kakumei no Tsubasa,8.0,7.164332399626518,1071
634,Tekkon Kinkreet,8.0,7.180748213535098,4758
641,Berserk: Ougon Jidai-hen I - Haou no Tamago,8.0,6.992078382322285,9594
663,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,8.0,7.129430457100954,8182
664,Berserk: Ougon Jidai-hen III - Kourin,8.0,7.363456464379947,7580
675,Cowboy Bebop: Tengoku no Tobira,8.0,7.494035728554306,17521
678,One Piece Film: Z,8.0,7.31669776119403,8576
689,Ao no Exorcist Movie,8.0,6.678197986905111,10233
691,Toaru Majutsu no Index Movie: Endymion no Kiseki,8.0,6.775267737617135,5976
706,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,8.0,7.3884297520661155,1694
709,Break Blade 2: Ketsubetsu no Michi,8.0,6.869625520110957,7210
725,Stranger: Mukou Hadan,8.0,7.744818652849741,14668
744,Mardock Scramble: The First Compression,8.0,6.757847533632287,4460
768,Mobile Suit Gundam Wing: Endless Waltz Movie,8.0,6.81493890421758,5074
771,Transformers the Movie,8.0,6.782939832444783,1313
772,Break Blade 6: Doukoku no Toride,8.0,6.816152666553076,5869
775,Omae Umasou da na,8.0,7.371666666666667,600
777,Break Blade 3: Kyoujin no Ato,8.0,6.924895272292041,6684
783,Break Blade 4: Sanka no Chi,8.0,6.9996875976257416,6402
790,Break Blade 5: Shisen no Hate,8.0,6.977533617579534,6098
794,Sengoku Basara Movie: The Last Party,8.0,6.792836792836793,2457
795,Strike Witches Movie,8.0,6.716306775874907,2686
810,Gantz:O,8.0,6.870349492671928,2661
816,Detective Conan Movie 20: The Darkest Nightmare,8.0,7.082974137931035,928
817,Bungou Stray Dogs: Dead Apple,8.0,6.9772727272727275,88
890,Kuroshitsuji Movie: Book of the Atlantic,8.0,7.496871741397289,1918
894,Sword Art Online Movie: Ordinal Scale,8.0,7.222791008235032,8986
906,Mobile Suit Gundam Thunderbolt: December Sky,8.0,6.923676012461059,642
912,Vampire Hunter D (2000),8.0,6.940703005603668,9815
913,Initial D Third Stage,8.0,6.8876788036410925,6152
958,Kingsglaive: Final Fantasy XV,8.0,6.7816254416961135,2830
965,Digimon Adventure tri. 3: Kokuhaku,8.0,6.741826381059752,2661
1026,Kurenai no Buta,8.0,7.051490790678742,9827
1027,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,8.0,7.198815566835871,1182
1038,Ajin Part 1: Shoudou,8.0,6.546373365041617,1682
1068,Lupin the IIIrd: Chikemuri no Ishikawa Goemon,8.0,7.03347280334728,478
1081,Persona 3 the Movie 4: Winter of Rebirth,8.0,7.031294452347084,1406
1082,Final Fantasy VII: Advent Children,8.0,7.0795714753025845,24456
1087,Code Geass: Hangyaku no Lelouch I - Koudou,8.0,6.495176848874598,311
1094,Detective Conan Movie 21: The Crimson Love Letter,8.0,6.927619047619047,525
1102,One Piece Film: Gold,8.0,7.0456075910621365,3267
1108,Akira,8.0,7.199444852641032,24498
1112,Ghost in the Shell,8.0,7.291193240083679,24379
1127,Pokemon Diamond & Pearl: Genei no Hasha Zoroark,7.0,5.663849509269356,3668
1139,Overlord Movie 2: Shikkoku no Eiyuu,7.0,6.143876337693222,841
