,title,median,mean,my_status
0,Fullmetal Alchemist: Brotherhood,10.0,8.623912907464181,47949
3,Gintama°,10.0,8.45272030651341,6525
12,Durarara!!,9.0,7.738746083101929,39253
18,Kiseijuu: Sei no Kakuritsu,9.0,7.798238789079078,28276
19,Katanagatari,9.0,7.831272348033373,13424
20,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,9.0,7.827402135231317,7306
24,Ghost in the Shell: Stand Alone Complex 2nd GIG,9.0,7.639600190385531,10505
25,Ashita no Joe 2,9.0,7.761904761904762,588
27,Code Geass: Hangyaku no Lelouch R2,9.0,8.280058972366664,50193
41,Cowboy Bebop,9.0,8.037854889589905,34236
47,Fate/Zero 2nd Season,9.0,7.9974270407443955,28372
52,Tengen Toppa Gurren Lagann,9.0,8.18092268092268,40404
53,Hunter x Hunter (2011),9.0,8.512158269984418,21179
59,Psycho-Pass,9.0,7.766357278253481,30598
61,Boku no Hero Academia 2nd Season,9.0,7.729021834916283,20426
62,Gintama&#039;: Enchousen,9.0,8.152987760979121,8334
65,Baccano!,9.0,7.964977784415487,26783
66,Code Geass: Hangyaku no Lelouch,9.0,8.146091691551028,56930
68,Gintama&#039;,9.0,8.346543162719634,10472
73,Fate/Zero,9.0,7.795481238795821,32354
75,Gintama.,9.0,8.048483554036736,4682
76,Kingdom 2nd Season,9.0,7.726208459214502,2648
83,Shingeki no Kyojin,9.0,7.846398740856003,55911
87,Gintama,9.0,8.392029868942396,13124
92,Gintama.: Shirogane no Tamashii-hen,9.0,7.868803204807211,1997
103,Ansatsu Kyoushitsu 2nd Season,9.0,7.764909378055201,13297
104,One Punch Man,9.0,7.9125240558846315,40011
113,Hokuto no Ken,8.0,7.210571551353675,2327
115,Tsubasa Chronicle 2nd Season,8.0,6.701911220715166,9732
130,Log Horizon,8.0,7.356520641333165,23763
133,Katekyo Hitman Reborn!,8.0,7.630471074980039,13777
135,Overlord,8.0,7.163796047816541,20495
136,Kill la Kill,8.0,7.499075721111925,28671
137,Shijou Saikyou no Deshi Kenichi,8.0,7.512461183215224,12559
139,Shounen Onmyouji,8.0,6.833385629118293,3187
140,Aoki Hagane no Arpeggio: Ars Nova,8.0,6.79386658235852,6326
144,Hakkenden: Touhou Hakken Ibun 2nd Season,8.0,6.624303963314772,3053
148,Gundam Build Fighters,8.0,7.076773187840998,2566
150,Black Lagoon: The Second Barrage,8.0,7.605288974194925,23445
157,Magi: The Kingdom of Magic,8.0,7.588608352279526,16714
169,Ushio to Tora (TV),8.0,6.758627121805633,5361
170,Yozakura Quartet: Hana no Uta,8.0,6.6798513405893285,3767
177,Girls & Panzer,8.0,6.955772755039707,8185
181,Btooom!,8.0,6.928455468720505,26487
190,Magi: The Labyrinth of Magic,8.0,7.339962291255162,22276
194,JoJo no Kimyou na Bouken (TV),8.0,7.734699510108328,14493
