,title,median,mean,my_status
33,Mononoke Hime,9.0,7.794404020310946,38206
39,Sen to Chihiro no Kamikakushi,9.0,7.915685608633311,53004
48,Howl no Ugoku Shiro,9.0,7.750441509340099,40203
89,Mushishi Zoku Shou: Suzu no Shizuku,9.0,7.589584624922504,3226
182,Little Witch Academia,8.0,6.979142441860465,13760
213,Naruto: Shippuuden Movie 6 - Road to Ninja,8.0,6.629604298974108,10235
217,Detective Conan Movie 17: Private Eye in the Distant Sea,8.0,6.496512365250475,1577
257,Little Witch Academia: Mahoujikake no Parade,8.0,6.925773760613531,7302
259,Detective Conan Movie 10: Requiem of the Detectives,8.0,6.705061648280338,3082
263,Macross Plus Movie Edition,8.0,6.701469450889404,1293
266,Sennen Joyuu,8.0,7.560459324847814,7228
269,Detective Conan Movie 09: Strategy Above the Depths,8.0,6.469152542372881,2950
281,Bakemono no Ko,8.0,7.71121351766513,9114
293,Lupin the IIIrd: Jigen Daisuke no Bohyou,8.0,6.996478873239437,852
311,Mobile Suit Gundam III: Encounters in Space,8.0,6.871918542336549,1866
350,Lupin III: Cagliostro no Shiro,8.0,7.282645324347094,4748
396,Ginga Tetsudou 999 (Movie),8.0,6.715264187866928,1022
412,Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.,8.0,6.778418649363134,4161
414,Detective Conan Movie 08: Magician of the Silver Sky,8.0,6.733414116934262,3301
415,Detective Conan Movie 07: Crossroad in the Ancient Capital,8.0,6.4956030150753765,3184
416,Detective Conan Movie 06: The Phantom of Baker Street,8.0,6.9826962809917354,3872
417,Detective Conan Movie 05: Countdown to Heaven,8.0,6.767104542966612,3654
418,Detective Conan Movie 04: Captured in Her Eyes,8.0,6.709139784946236,3720
425,Urusei Yatsura Movie 2: Beautiful Dreamer,8.0,6.62358276643991,882
432,Tales of Vesperia: The First Strike,8.0,6.935763888888889,4032
452,Gake no Ue no Ponyo,8.0,6.999351223827779,16955
461,Kappa no Coo to Natsuyasumi,8.0,6.90950744558992,873
485,Piano no Mori,8.0,7.0814814814814815,2970
532,Trigun: Badlands Rumble,8.0,7.231857479696097,7634
534,One Piece Film: Strong World,8.0,7.350397175639894,11330
564,Detective Conan Movie 12: Full Score of Fear,8.0,6.512168543407192,2753
634,Tekkon Kinkreet,8.0,7.180748213535098,4758
639,Toki wo Kakeru Shoujo,8.0,7.747045467776678,34354
641,Berserk: Ougon Jidai-hen I - Haou no Tamago,8.0,6.992078382322285,9594
642,Da Yu Hai Tang,8.0,6.925333333333334,375
653,Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,8.0,6.748087431693989,3660
663,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,8.0,7.129430457100954,8182
664,Berserk: Ougon Jidai-hen III - Kourin,8.0,7.363456464379947,7580
665,Detective Conan Movie 16: The Eleventh Striker,8.0,6.5961945031712474,1892
676,Arashi no Yoru ni,8.0,6.928885630498534,1364
678,One Piece Film: Z,8.0,7.31669776119403,8576
724,Toaru Hikuushi e no Tsuioku,8.0,7.1013165426445335,3494
725,Stranger: Mukou Hadan,8.0,7.744818652849741,14668
761,Detective Conan Movie 15: Quarter of Silence,8.0,6.795862068965517,2175
775,Omae Umasou da na,8.0,7.371666666666667,600
776,Hoshi wo Ou Kodomo,8.0,7.0121580547112465,8225
872,Detective Conan Movie 01: The Timed Skyscraper,8.0,6.600574712643678,4524
876,Detective Conan Movie 02: The Fourteenth Target,8.0,6.584565271861689,3991
894,Sword Art Online Movie: Ordinal Scale,8.0,7.222791008235032,8986
919,Neko no Ongaeshi,8.0,6.955446293494705,13220
952,Kaze no Tani no Nausicaä,8.0,7.500164817053071,18202
963,Tonari no Totoro,8.0,7.436939313984169,30320
965,Digimon Adventure tri. 3: Kokuhaku,8.0,6.741826381059752,2661
975,Tenkuu no Shiro Laputa,8.0,7.318911410638955,19438
977,Majo no Takkyuubin,8.0,7.1801474250423345,20078
1007,Detective Conan Movie 03: The Last Wizard of the Century,8.0,6.703937405350833,3962
1026,Kurenai no Buta,8.0,7.051490790678742,9827
1052,Mind Game,8.0,6.9508644222020015,3297
1068,Lupin the IIIrd: Chikemuri no Ishikawa Goemon,8.0,7.03347280334728,478
1102,One Piece Film: Gold,8.0,7.0456075910621365,3267
1108,Akira,8.0,7.199444852641032,24498
1127,Pokemon Diamond & Pearl: Genei no Hasha Zoroark,7.0,5.663849509269356,3668
1171,Digimon Adventure tri. 4: Soushitsu,7.0,6.297679112008073,1982
