,title,median,mean,my_status
0,Fullmetal Alchemist: Brotherhood,10.0,8.623912907464181,47949
7,Mushishi Zoku Shou,9.0,7.920807255077277,7829
19,Katanagatari,9.0,7.831272348033373,13424
20,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,9.0,7.827402135231317,7306
21,Made in Abyss,9.0,8.209276729559749,12720
32,Mushishi Zoku Shou 2nd Season,9.0,7.95875063656425,5891
35,Sora yori mo Tooi Basho,9.0,7.8992697053638885,3971
41,Cowboy Bebop,9.0,8.037854889589905,34236
52,Tengen Toppa Gurren Lagann,9.0,8.18092268092268,40404
53,Hunter x Hunter (2011),9.0,8.512158269984418,21179
58,Mushishi,9.0,8.152232015922662,17585
115,Tsubasa Chronicle 2nd Season,8.0,6.701911220715166,9732
130,Log Horizon,8.0,7.356520641333165,23763
131,Kekkaishi,8.0,6.907641196013289,6020
135,Overlord,8.0,7.163796047816541,20495
157,Magi: The Kingdom of Magic,8.0,7.588608352279526,16714
169,Ushio to Tora (TV),8.0,6.758627121805633,5361
190,Magi: The Labyrinth of Magic,8.0,7.339962291255162,22276
194,JoJo no Kimyou na Bouken (TV),8.0,7.734699510108328,14493
197,Suisei no Gargantia,8.0,6.91185992732078,15135
200,Saiunkoku Monogatari 2nd Season,8.0,7.177232142857143,2240
201,Jormungand: Perfect Order,8.0,7.169427354472314,8452
202,Dragon Ball Super,8.0,6.9094827586206895,4872
211,Noragami Aragoto,8.0,7.5074962175049285,21811
216,Zero no Tsukaima: Futatsuki no Kishi,8.0,6.883779355543419,27465
230,Naruto: Shippuuden,8.0,7.546132257498685,11402
238,Saiunkoku Monogatari,8.0,7.09033465948982,4273
243,Seirei no Moribito,8.0,7.585985689612633,8106
247,Claymore,8.0,7.348412433774221,26991
271,Zero no Tsukaima,8.0,6.868684814502775,34421
279,Nanatsu no Taizai,8.0,7.467962140882821,23878
291,Saint Seiya,8.0,6.80280029476787,6785
295,Log Horizon 2nd Season,8.0,6.782859997145711,14014
301,Arslan Senki (TV),8.0,7.064757709251102,9080
309,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,8.0,6.966164798298012,24442
318,Lupin III (2015),8.0,7.002044989775051,978
321,Slayers Try,8.0,6.821098087600247,4863
322,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,8.0,7.715516346652828,9635
325,Akatsuki no Yona,8.0,7.424658524246586,13837
329,Magic Kaito 1412,8.0,7.021347073978653,2717
345,Noragami,8.0,7.269173746935052,35074
352,Lupin III: Part II,8.0,6.361976369495166,931
353,JoJo no Kimyou na Bouken: Stardust Crusaders,8.0,7.390855192238591,11132
355,Lupin III,8.0,6.603359173126615,3096
364,Uchuu Kaizoku Captain Herlock,8.0,6.789637305699482,965
367,No Game No Life,8.0,7.6288026299152865,39545
368,Ginga Tetsudou 999,8.0,6.798479087452471,526
372,Master Keaton,8.0,6.948303715670436,619
373,D.Gray-man,8.0,7.530325443786983,18928
386,Soredemo Sekai wa Utsukushii,8.0,6.948636806231743,8216
390,Akame ga Kill!,8.0,6.963836863294241,28565
399,Dragon Ball Kai (2014),8.0,6.754977520873474,3114
402,Fairy Tail (2014),8.0,7.28338551225305,9263
403,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",8.0,7.0989010989010985,18473
410,Lupin the Third: Mine Fujiko to Iu Onna,8.0,7.148148148148148,2241
419,Shingeki no Bahamut: Genesis,8.0,6.999825662482566,11472
426,Igano Kabamaru,8.0,7.046692607003891,514
430,Dragon Ball Kai,8.0,6.822606991179353,9183
457,Pandora Hearts,8.0,7.105897009966777,16856
466,Ie Naki Ko Remy,8.0,6.745718050065876,759
467,Ie Naki Ko,8.0,6.971677559912854,459
477,Takarajima,8.0,6.6075949367088604,553
500,Tegamibachi,8.0,6.881216397849462,5952
511,Fairy Tail,8.0,7.5716437897556075,23896
516,InuYasha: Kanketsu-hen,8.0,7.257623554153523,8559
518,Ookami to Koushinryou II,8.0,7.6656584688615625,20168
523,Golgo 13 (TV),8.0,6.706196581196581,936
529,Kyou kara Maou! 3rd Series,8.0,6.750428326670474,1751
530,Michiko to Hatchin,8.0,7.161124867350548,5654
537,Chrome Shelled Regios,8.0,6.805764788590941,9957
541,Ginga Sengoku Gunyuuden Rai,8.0,6.772935779816514,436
556,Nijuu Mensou no Musume,8.0,6.834641548927263,1911
557,Kaiba,8.0,7.585818795723129,3554
576,Ookami to Koushinryou,8.0,7.646202352274337,28228
608,Casshern Sins,8.0,7.060401523018346,5778
654,Persona 4 the Animation,8.0,6.87898516036381,10445
656,Dennou Coil,8.0,7.586084905660377,5088
658,Zero no Tsukaima F,8.0,6.767042199732671,15711
660,Jormungand,8.0,7.171521035598706,11433
692,Sword Art Online,8.0,7.120340902961325,55617
714,Space Cobra,8.0,6.794066317626527,573
726,Gokudou-kun Manyuuki,8.0,6.817264573991031,892
732,Romeo no Aoi Sora,8.0,7.442164179104478,1072
743,Densetsu no Yuusha no Densetsu,8.0,7.045852749301025,10730
749,Tegamibachi Reverse,8.0,6.866929133858267,3810
766,Toriko,8.0,6.773930753564155,1964
791,Tetsujin 28-gou (2004),8.0,6.771186440677966,118
801,Kino no Tabi: The Beautiful World,8.0,7.742426085898527,8219
804,Fushigi Yuugi,8.0,6.805278403604763,6214
805,Ueki no Housoku,8.0,7.009000734753857,5444
808,Fullmetal Alchemist,8.0,7.657079277930289,48084
821,Mujin Wakusei Survive,8.0,6.685972850678733,1105
831,Hunter x Hunter,8.0,7.454946586158848,12918
833,D.Gray-man Hallow,8.0,6.798266018185663,4729
835,Overlord II,8.0,6.99775196702885,8007
846,Gensoumaden Saiyuuki,8.0,6.670845387335262,3111
847,Bleach,8.0,7.41996130551817,23776
852,Pokemon XY&Z,8.0,6.869146005509642,1452
860,Mirai Shounen Conan,8.0,7.049740163325909,1347
861,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",8.0,7.093685777053363,14111
864,Mahoujin Guruguru (2017),8.0,7.233281493001555,643
880,Fantastic Children,8.0,6.912280701754386,1197
886,Hai to Gensou no Grimgar,8.0,7.032975151108126,14890
887,Little Witch Academia (TV),8.0,7.366353213963674,7763
895,Nejimaki Seirei Senki: Tenkyou no Alderamin,8.0,7.008367071524966,7410
896,Last Exile,8.0,7.156902428632296,9388
897,Turn A Gundam,8.0,6.80859375,1536
898,Magi: Sinbad no Bouken (TV),8.0,7.185125040597597,6158
910,Dragon Ball,8.0,7.002137694682909,29471
911,Ginga Nagareboshi Gin,8.0,6.996164908916587,1043
923,Slayers Next,8.0,7.049681966649476,5817
926,Slayers,8.0,6.854638934330451,8558
927,Cardcaptor Sakura,8.0,7.162179265907261,17382
931,Noein: Mou Hitori no Kimi e,8.0,6.944910915420848,4883
936,R.O.D the TV,8.0,6.687990580847724,5096
942,Samurai Champloo,8.0,7.7679759674397575,30958
946,Wolf&#039;s Rain,8.0,7.186038466860385,14454
954,Kono Subarashii Sekai ni Shukufuku wo! 2,8.0,7.399402783255395,17749
959,Tenkuu no Escaflowne,8.0,6.963205417607224,8860
973,Shaman King,8.0,6.703284325349775,16868
976,Juuni Kokuki,8.0,7.462555922972184,5141
984,"Ima, Soko ni Iru Boku",8.0,7.099277210884353,4704
988,Eureka Seven,8.0,7.545826330532213,17850
989,Kemono Friends,8.0,6.846846846846847,1998
990,Tsubasa Chronicle,8.0,6.81680236861584,13510
994,Shoujo Shuumatsu Ryokou,8.0,7.405176832393645,3902
1000,Scrapped Princess,8.0,6.714524207011686,5990
1004,InuYasha,8.0,6.923167970358172,19432
1006,Kyou kara Maou!,8.0,6.965797656063143,4181
1008,Flip Flappers,8.0,6.9865618661257605,3944
1025,Sunabouzu,8.0,6.775395238960567,5503
1029,Yuusha-Ou GaoGaiGar,8.0,7.104011887072808,673
1034,Ushio to Tora (TV) 2nd Season,8.0,7.100687757909216,3635
1039,Basilisk: Kouga Ninpou Chou,8.0,7.018457481872116,9102
1042,Dragon Ball Z,8.0,7.178688571347081,35061
1055,Drifters,8.0,7.201033944596176,10252
1063,Naruto,8.0,7.04230165510938,50329
1064,Seihou Bukyou Outlaw Star,8.0,7.133513879485443,7385
1092,Trigun,8.0,7.483523734895039,24247
1097,Kenpuu Denki Berserk,8.0,7.668210233850428,17276
1107,Kono Subarashii Sekai ni Shukufuku wo!,8.0,7.277600979192166,24510
1110,Rurouni Kenshin: Meiji Kenkaku Romantan,8.0,7.516392059832424,17783
1118,Kino no Tabi: The Beautiful World - The Animated Series,7.0,6.750579374275782,3452
1119,Shin Koihime†Musou: Otome Tairan,7.0,6.2376103190767145,1473
1125,Isekai wa Smartphone to Tomo ni.,7.0,5.90812362776558,5921
1148,Dog Days,7.0,6.396896784348999,8894
1198,Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,7.0,6.265060240963855,1245
1202,Battle Spirits: Shounen Gekiha Dan,7.0,5.816901408450704,71
1214,Last Exile: Ginyoku no Fam,7.0,6.217879604672057,2226
1243,Uragiri wa Boku no Namae wo Shitteiru,7.0,6.531089294062646,4278
1258,Alice to Zouroku,7.0,6.448836467963022,3137
1285,Dae Jang Geum: Jang Geum&#039;s Dream 2,7.0,5.512820512820513,39
1311,Shoukoku no Altair,7.0,6.785596026490066,1208
1324,Cardfight!! Vanguard,7.0,6.26084407971864,1706
1342,Fractale,7.0,6.393382352941177,6256
1350,Battle Spirits: Brave,7.0,5.458333333333333,72
1377,Cyborg 009 (TV),7.0,5.627358490566038,212
