,genre,counts
0,Comedy,3693
1,Action,2602
2,Fantasy,1883
3,Adventure,1863
4,Sci-Fi,1847
5,Drama,1675
6,Shounen,1495
7,Romance,1463
8,School,1187
9,Hentai,1122
10,Supernatural,1013
11,SliceofLife,1011
12,Mecha,812
13,Magic,739
14,Music,728
15,Ecchi,633
16,Seinen,564
17,Shoujo,529
18,Historical,522
19,Mystery,522
20,Kids,479
21,SuperPower,422
22,Sports,420
23,Military,419
24,Space,349
25,Parody,339
26,Harem,336
27,Horror,329
28,Demons,296
29,Psychological,254
30,MartialArts,231
31,Game,197
32,Dementia,196
33,Police,173
34,Samurai,130
35,Vampire,112
36,Thriller,84
37,Josei,71
38,ShounenAi,70
39,ShoujoAi,62
40,Cars,50
41,Yuri,41
42,Yaoi,36
