anime_id,median,mean,my_status,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme
820,10.0,8.64421965317919,3460,Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,銀河英雄伝説,"LoGH, LotGH, Gin&#039;eiden, GinEiDen, Heldensagen Vom Kosmosinsel",https://myanimelist.cdn-dena.com/images/anime/13/13225.jpg,OVA,Novel,110,Finished Airing,False,"Jan 8, 1988 to Mar 17, 1997","{'from': '1988-01-08', 'to': '1997-03-17'}",26 min. per ep.,R - 17+ (violence & profanity),9.11,29036,6.0,671,124993,8567,"Legend of the Galactic heroes was adapted from a series of ten novels, published 1982&ndash;87, by Yoshiki Tanaka. The novels won the Seiun Award for the best long-form Japanese science fiction in 1988.At the start of its production the anime was distributed through a subscription system in which episodes were mailed to existing fans of the novels. It was made in four separate tranches over nearly a decade, with the production of side-stories continuing for several further years. The main series has the largest voice cast of any anime, with well over 300 voice actors, and it is the longest OVA series ever made.The novels have also been adapted into a manga, a stage musical by the Takarazuka Revue and a number of games.",,,"{'Adaptation': [{'mal_id': 6978, 'type': 'manga', 'url': 'https://myanimelist.net/manga/6978/Ginga_Eiyuu_Densetsu', 'title': 'Ginga Eiyuu Densetsu'}, {'mal_id': 11941, 'type': 'manga', 'url': 'https://myanimelist.net/manga/11941/Ginga_Eiyuu_Densetsu', 'title': 'Ginga Eiyuu Densetsu'}], 'Prequel': [{'mal_id': 3016, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3016/Ginga_Eiyuu_Densetsu__Arata_Naru_Tatakai_no_Overture', 'title': 'Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture'}], 'Side story': [{'mal_id': 3371, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3371/Ginga_Eiyuu_Densetsu_Gaiden', 'title': 'Ginga Eiyuu Densetsu Gaiden'}, {'mal_id': 3665, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3665/Ginga_Eiyuu_Densetsu_Gaiden_1999', 'title': 'Ginga Eiyuu Densetsu Gaiden (1999)'}], 'Alternative version': [{'mal_id': 31433, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31433/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Kaikou', 'title': 'Ginga Eiyuu Densetsu: Die Neue These - Kaikou'}, {'mal_id': 36369, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36369/Ginga_Eiyuu_Densetsu__Die_Neue_These_Seiran_1', 'title': 'Ginga Eiyuu Densetsu: Die Neue These Seiran 1'}, {'mal_id': 36370, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36370/Ginga_Eiyuu_Densetsu__Die_Neue_These_Seiran_2', 'title': 'Ginga Eiyuu Densetsu: Die Neue These Seiran 2'}, {'mal_id': 36371, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36371/Ginga_Eiyuu_Densetsu__Die_Neue_These_Seiran_3', 'title': 'Ginga Eiyuu Densetsu: Die Neue These Seiran 3'}]}",Kitty Films,Sentai Filmworks,"Artland, Magic Bus","Military, Sci-Fi, Space, Drama","['#1: ""Skies of Love"" by Michiru Akiyoshi (eps 1-22,24-26)', '#2: ""I am waiting for you"" by Michiru Akiyoshi (eps 27-30,32,34-35,37-38,40,43,45,49,51-52)', '#3: ""Sea of the Stars"" by LISA (eps 55-81,86)', '#4: ""Must Be Something"" by Hitomi Konno (eps 87-106,108-110)']","['#1: ""Hikari no Hashi wo koete"" by Kei Ogura (eps 1-5,7-13,16-17,19-21,24-26,84)', '#2: ""Tabidachi no Jyokyoku"" by Kei Ogura (eps 27-30,32,35,37-38,40,42-43,45,49,51)', '#3: ""Kansou no Uta"" by Kei Ogura (eps 55-56,58-69,71-81,83,85)', '#4: ""Uchuu no Kakehashi"" by Kei Ogura (eps 87-106,108-110)']"
5114,10.0,8.623912907464181,47949,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,"Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA",https://myanimelist.cdn-dena.com/images/anime/5/47421.jpg,TV,Manga,64,Finished Airing,False,"Apr 5, 2009 to Jul 4, 2010","{'from': '2009-04-05', 'to': '2010-07-04'}",24 min. per ep.,R - 17+ (violence & profanity),9.25,733592,1.0,4,1199091,106895,"Fullmetal Alchemist: Brotherhood is an alternate retelling of Hiromu Arakawa&#039;s Fullmetal Alchemist manga that is closer to the source material than the previous 2003 adaptation, this time covering the entire story.On March 31, 2016, FUNimation Entertainment&#039;s license to the series expired.",Spring 2009,Sundays at 17:00 (JST),"{'Adaptation': [{'mal_id': 25, 'type': 'manga', 'url': 'https://myanimelist.net/manga/25/Fullmetal_Alchemist', 'title': 'Fullmetal Alchemist'}], 'Alternative version': [{'mal_id': 121, 'type': 'anime', 'url': 'https://myanimelist.net/anime/121/Fullmetal_Alchemist', 'title': 'Fullmetal Alchemist'}], 'Side story': [{'mal_id': 6421, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6421/Fullmetal_Alchemist__Brotherhood_Specials', 'title': 'Fullmetal Alchemist: Brotherhood Specials'}, {'mal_id': 9135, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9135/Fullmetal_Alchemist__The_Sacred_Star_of_Milos', 'title': 'Fullmetal Alchemist: The Sacred Star of Milos'}], 'Spin-off': [{'mal_id': 7902, 'type': 'anime', 'url': 'https://myanimelist.net/anime/7902/Fullmetal_Alchemist__Brotherhood_-_4-Koma_Theater', 'title': 'Fullmetal Alchemist: Brotherhood - 4-Koma Theater'}]}","Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America",Bones,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen","['#1: ""again"" by YUI (eps 1-14)', '#2: ""Hologram (ホログラム)"" by NICO Touches the Walls (eps 15-26)', '#3: ""Golden Time Lover (ゴールデンタイムラバー)"" by Sukima Switch (eps 27-38)', '#4: ""Period"" by Chemistry (eps 39-50)', '#5: ""Rain (レイン)"" by SID (eps 51-62)']","['#1: ""Uso (嘘)"" by SID (eps 1-14)', '#2: ""LET IT OUT"" by Miho Fukuhara (eps 15-26)', '#3: ""Tsunaida Te (つないだ手)"" by Lil&#039;B (eps 27-38)', '#4: ""Shunkan Sentimental (瞬間センチメンタル)"" by SCANDAL (eps 39-50)', '#5: ""RAY OF LIGHT"" by Nakagawa Shouko (eps 51-62)', '#6: ""Rain (レイン)"" by SID (ep 63)', '#7: ""Hologram (ホログラム)"" by NICO Touches the Walls (ep 64)']"
28977,10.0,8.45272030651341,6525,Gintama°,Gintama Season 4,銀魂°,Gintama&#039; (2015),https://myanimelist.cdn-dena.com/images/anime/3/72078.jpg,TV,Manga,51,Finished Airing,False,"Apr 8, 2015 to Mar 30, 2016","{'from': '2015-04-08', 'to': '2016-03-30'}",24 min. per ep.,R - 17+ (violence & profanity),9.15,71751,3.0,383,198744,5668, This is a fourth season of Gintama. In the episode continuity corresponds to episodes 266-316 of Gintama. ,Spring 2015,Wednesdays at 18:00 (JST),"{'Adaptation': [{'mal_id': 44, 'type': 'manga', 'url': 'https://myanimelist.net/manga/44/Gintama', 'title': 'Gintama'}], 'Prequel': [{'mal_id': 15335, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare', 'title': 'Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare'}, {'mal_id': 15417, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15417/Gintama__Enchousen', 'title': 'Gintama&#039;: Enchousen'}], 'Side story': [{'mal_id': 32122, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32122/Gintama°__Umai-mono_wa_Atomawashi_ni_Suru_to_Yokodorisareru_kara_Yappari_Saki_ni_Kue', 'title': 'Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue'}, {'mal_id': 32366, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32366/Gintama°__Aizome_Kaori-hen', 'title': 'Gintama°: Aizome Kaori-hen'}], 'Sequel': [{'mal_id': 34096, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34096/Gintama', 'title': 'Gintama.'}]}","TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll",Bandai Namco Pictures,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","['#1: ""DAY×DAY"" by BLUE ENCOUNT (eps 1-12)', '#2: ""Pride Kakumei (プライド革命)"" by CHiCO with HoneyWorks (eps 13-15, 17-26)', '#3: ""Saigo made II (最後までⅡ)"" by Aqua Timez (ep 16)', '#4: ""Beautiful Days"" by OKAMOTO&#039;S (eps 27-38)', '#5: &#039;&#039;Know Know Know&#039;&#039; by DOES (eps 39-50)', '#6: ""Acchi Muite (あっちむいて)"" by Swimy (ep 51)']","['#1: ""DESTINY"" by Negoto (eps 1-12)', '#2: ""Saigo made II (最後までⅡ)"" by Aqua Timez (eps 13-15, 17-26)', '#3: ""Pride Kakumei (プライド革命)"" by CHiCO with HoneyWorks (ep 16)', '#4: ""Glorious Days (グロリアスデイズ)"" by THREE LIGHTS DOWN KINGS (eps 27-38)', '#5: ""Acchi Muite (あっちむいて)"" by Swimy (eps 39-50)', '#6: ""Know Know Know"" by DOES (ep 51)']"
4181,10.0,8.414148857774503,37996,Clannad: After Story,Clannad ~After Story~,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,,https://myanimelist.cdn-dena.com/images/anime/13/24647.jpg,TV,Visual novel,24,Finished Airing,False,"Oct 3, 2008 to Mar 27, 2009","{'from': '2008-10-03', 'to': '2009-03-27'}",24 min. per ep.,PG-13 - Teens 13 or older,9.01,363239,14.0,55,607387,47380,,Fall 2008,Fridays at 01:59 (JST),"{'Alternative version': [{'mal_id': 1723, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1723/Clannad_Movie', 'title': 'Clannad Movie'}], 'Prequel': [{'mal_id': 2167, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2167/Clannad', 'title': 'Clannad'}], 'Alternative setting': [{'mal_id': 6351, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6351/Clannad__After_Story_-_Mou_Hitotsu_no_Sekai_Kyou-hen', 'title': 'Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen'}]}","Pony Canyon, TBS, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,"Slice of Life, Comedy, Supernatural, Drama, Romance","['""Toki wo Kizamu Uta (時を刻む唄)"" by Lia']","['#1: ""TORCH"" by Lia (eps 1-21)', '#2: ""Chiisana Te no Hira (小さなてのひら)"" by riya (ep 22)']"
9253,9.0,8.58489050577591,42331,Steins;Gate,Steins;Gate,STEINS;GATE,,https://myanimelist.cdn-dena.com/images/anime/5/73199.jpg,TV,Visual novel,24,Finished Airing,False,"Apr 6, 2011 to Sep 14, 2011","{'from': '2011-04-06', 'to': '2011-09-14'}",24 min. per ep.,PG-13 - Teens 13 or older,9.14,563857,5.0,8,1010330,92423,Steins;Gate is based on 5pb. and Nitroplus&#039; visual novel of the same title.,Spring 2011,Wednesdays at 02:05 (JST),"{'Adaptation': [{'mal_id': 17517, 'type': 'manga', 'url': 'https://myanimelist.net/manga/17517/Steins_Gate', 'title': 'Steins;Gate'}], 'Alternative setting': [{'mal_id': 4975, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4975/ChäoS_HEAd', 'title': 'ChäoS;HEAd'}, {'mal_id': 13599, 'type': 'anime', 'url': 'https://myanimelist.net/anime/13599/Robotics_Notes', 'title': 'Robotics;Notes'}, {'mal_id': 30485, 'type': 'anime', 'url': 'https://myanimelist.net/anime/30485/ChäoS_Child', 'title': 'ChäoS;Child'}, {'mal_id': 32962, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32962/Occultic_Nine', 'title': 'Occultic;Nine'}], 'Sequel': [{'mal_id': 10863, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10863/Steins_Gate__Oukoubakko_no_Poriomania', 'title': 'Steins;Gate: Oukoubakko no Poriomania'}], 'Other': [{'mal_id': 27957, 'type': 'anime', 'url': 'https://myanimelist.net/anime/27957/Steins_Gate__Soumei_Eichi_no_Cognitive_Computing', 'title': 'Steins;Gate: Soumei Eichi no Cognitive Computing'}], 'Alternative version': [{'mal_id': 32188, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32188/Steins_Gate__Kyoukaimenjou_no_Missing_Link_-_Divide_By_Zero', 'title': 'Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero'}]}","Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Funimation,White Fox,"Thriller, Sci-Fi","['""Hacking to the Gate"" by Kanako Itou']","['#1: ""Toki Tsukasadoru Juuni no Meiyaku (刻司ル十二ノ盟約)"" by Yui Sakakibara (eps 1-21)', '#2: ""Fake Verthandi"" by Takeshi Abo (ep 22)', '#3: ""Sky Clad no Kansokusha (スカイクラッドの観測者)"" by Kanako Itou (ep 23)', '#4: ""Another Heaven"" by Kanako Itou (ep 24)']"
11061,9.0,8.512158269984418,21179,Hunter x Hunter (2011),Hunter x Hunter,HUNTER×HUNTER ハンターハンター,HxH (2011),https://myanimelist.cdn-dena.com/images/anime/11/33657.jpg,TV,Manga,148,Finished Airing,False,"Oct 2, 2011 to Sep 24, 2014","{'from': '2011-10-02', 'to': '2014-09-24'}",23 min. per ep.,PG-13 - Teens 13 or older,9.11,403377,8.0,35,720920,64375,,Fall 2011,Sundays at 10:55 (JST),"{'Adaptation': [{'mal_id': 26, 'type': 'manga', 'url': 'https://myanimelist.net/manga/26/Hunter_x_Hunter', 'title': 'Hunter x Hunter'}], 'Alternative version': [{'mal_id': 136, 'type': 'anime', 'url': 'https://myanimelist.net/anime/136/Hunter_x_Hunter', 'title': 'Hunter x Hunter'}, {'mal_id': 137, 'type': 'anime', 'url': 'https://myanimelist.net/anime/137/Hunter_x_Hunter__Yorkshin_City_Kanketsu-hen', 'title': 'Hunter x Hunter: Yorkshin City Kanketsu-hen'}, {'mal_id': 138, 'type': 'anime', 'url': 'https://myanimelist.net/anime/138/Hunter_x_Hunter__Greed_Island', 'title': 'Hunter x Hunter: Greed Island'}, {'mal_id': 139, 'type': 'anime', 'url': 'https://myanimelist.net/anime/139/Hunter_x_Hunter__Greed_Island_Final', 'title': 'Hunter x Hunter: Greed Island Final'}], 'Side story': [{'mal_id': 13271, 'type': 'anime', 'url': 'https://myanimelist.net/anime/13271/Hunter_x_Hunter_Movie_1__Phantom_Rouge', 'title': 'Hunter x Hunter Movie 1: Phantom Rouge'}, {'mal_id': 19951, 'type': 'anime', 'url': 'https://myanimelist.net/anime/19951/Hunter_x_Hunter_Movie_2__The_Last_Mission', 'title': 'Hunter x Hunter Movie 2: The Last Mission'}]}","VAP, Nippon Television Network, Shueisha",Viz Media,Madhouse,"Action, Adventure, Super Power, Shounen","['#1: ""departure!"" by Ono Masatoshi (eps 1-26, 50-52, 62-75, 101-103, 137-147)', '#2: ""departure! -second version-"" by Ono Masatoshi (eps 27-49, 76-100, 109-136)', '#3: ""departure! -Opening Tokubetsu-hen-"" by Ono Masatoshi (eps 53-61, 104-108)']","['#1: ""Just Awake"" by Fear, and Loathing in Las Vegas (eps 1-26)', '#2: ""HUNTING FOR YOUR DREAM"" by Galneryus (eps 27-50, 52-58)', '#3: ""Riot"" by Yoshihisa Hirano (ep 51)', '#4: ""REASON"" by YUZU (ゆず) (eps 59-75, 147)', '#5: ""Nagareboshi Kirari (YUZU Version) (流れ星キラリ (ゆずバージョン))"" by YUZU (ゆず) (eps 76-98)', '#6: ""Hyouriittai (表裏一体)"" by YUZU (ゆず) (eps 99-134, 136)', '#7: ""Understanding"" by Yoshihisa Hirano (ep 135)', '#8: ""Hyouriittai -second version- (表裏一体)"" by YUZU (ゆず) (eps 137-146)', '#9: ""departure!"" by Ono Masatoshi (ep 148)']"
32281,9.0,8.463504395829073,29346,Kimi no Na wa.,Your Name.,君の名は。,,https://myanimelist.cdn-dena.com/images/anime/5/87048.jpg,Movie,Original,1,Finished Airing,False,"Aug 26, 2016","{'from': '2016-08-26', 'to': '2016-08-26'}",1 hr. 46 min.,PG-13 - Teens 13 or older,9.19,471398,2.0,33,730076,34912,,,,"{'Adaptation': [{'mal_id': 99314, 'type': 'manga', 'url': 'https://myanimelist.net/manga/99314/Kimi_no_Na_wa', 'title': 'Kimi no Na wa.'}, {'mal_id': 111747, 'type': 'manga', 'url': 'https://myanimelist.net/manga/111747/Kimi_no_Na_wa', 'title': 'Kimi no Na wa.'}], 'Other': [{'mal_id': 33902, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33902/Suntory_Minami_Alps_no_Tennen_Mizu', 'title': 'Suntory Minami Alps no Tennen Mizu'}]}","Kadokawa Shoten, Toho, Sound Team Don Juan, Lawson HMV Entertainment, Amuse, East Japan Marketing &amp; Communications","Funimation, NYAV Post",CoMix Wave Films,"Supernatural, Drama, Romance, School","['""Yume Tourou (夢灯籠)"" by RADWIMPS']","['""Nandemonaiya (なんでもないや)"" by RADWIMPS']"
35180,9.0,8.45125786163522,3180,3-gatsu no Lion 2nd Season,March Comes In Like A Lion 2nd Season,3月のライオン 第2シリーズ,Sangatsu no Lion Second Season,https://myanimelist.cdn-dena.com/images/anime/1959/92119.jpg,TV,Manga,22,Finished Airing,False,"Oct 14, 2017 to Mar 31, 2018","{'from': '2017-10-14', 'to': '2018-03-31'}",25 min. per ep.,PG-13 - Teens 13 or older,9.1,30779,9.0,990,85744,2257,,Fall 2017,Saturdays at 23:00 (JST),"{'Adaptation': [{'mal_id': 1224, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1224/3-gatsu_no_Lion', 'title': '3-gatsu no Lion'}], 'Prequel': [{'mal_id': 31646, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31646/3-gatsu_no_Lion', 'title': '3-gatsu no Lion'}]}","Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace Entertainment, Toy&#039;s Factory",Aniplex of America,Shaft,"Drama, Game, Seinen, Slice of Life","['#1: ""Flag wo Tatero (フラッグを立てろ)"" by YUKI', '#2: ""Haru ga Kite Bokura (春が来てぼくら)"" by UNISON SQUARE GARDEN']","['#1: ""Kafune (カフネ)"" by Brian the Sun', '#2: ""I AM STANDING"" by RUANN']"
918,9.0,8.392029868942396,13124,Gintama,Gintama,銀魂,"Gin Tama, Silver Soul, Yorinuki Gintama-san",https://myanimelist.cdn-dena.com/images/anime/2/10038.jpg,TV,Manga,201,Finished Airing,False,"Apr 4, 2006 to Mar 25, 2010","{'from': '2006-04-04', 'to': '2010-03-25'}",24 min. per ep.,PG-13 - Teens 13 or older,9.01,141830,15.0,95,459031,33781,"Several games based on Gintama have been released on a variety of platforms such as the Sony PlayStation 2, PlayStation Portable and Nintendo DS. Characters from the series have also appeared in Weekly Shounen Jump&#039;s crossover titles such as Jump Super Stars and Jump Ultimate Stars.The series received high-definition reruns of older episodes by TV Tokyo from April 5, 2010 till March 28, 2011 under the name Yorinuki Gintama-san which included 51 selected episodes as well as 4 new Openings and Endings. Sentai Filmworks licensed and released only the first 49 episodes of Gintama, along with the first movie; in 2016, Crunchyroll gained the license and plans to release the entire series dubbed/subtitled at some point in the future.",Spring 2006,Thursdays at 18:00 (JST),"{'Adaptation': [{'mal_id': 44, 'type': 'manga', 'url': 'https://myanimelist.net/manga/44/Gintama', 'title': 'Gintama'}], 'Side story': [{'mal_id': 2951, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2951/Gintama__Nanigoto_mo_Saiyo_ga_Kanjin_nano_de_Tasho_Senobisuru_Kurai_ga_Choudoyoi', 'title': 'Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi'}, {'mal_id': 6945, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6945/Gintama__Shiroyasha_Koutan', 'title': 'Gintama: Shiroyasha Koutan'}, {'mal_id': 10643, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10643/Gintama__Dai_Hanseikai', 'title': 'Gintama: Dai Hanseikai'}, {'mal_id': 25313, 'type': 'anime', 'url': 'https://myanimelist.net/anime/25313/Gintama__Futon_ni_Haitte_kara_Buki_Nokoshi_ni_Kizuite_Neru_ni_Nerenai_Toki_mo_Aru', 'title': 'Gintama&#039;: Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru'}, {'mal_id': 32122, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32122/Gintama°__Umai-mono_wa_Atomawashi_ni_Suru_to_Yokodorisareru_kara_Yappari_Saki_ni_Kue', 'title': 'Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue'}], 'Alternative version': [{'mal_id': 7472, 'type': 'anime', 'url': 'https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen', 'title': 'Gintama Movie 1: Shinyaku Benizakura-hen'}, {'mal_id': 21899, 'type': 'anime', 'url': 'https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D', 'title': 'Gintama: Yorinuki Gintama-san on Theater 2D'}], 'Sequel': [{'mal_id': 9969, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9969/Gintama', 'title': 'Gintama&#039;'}], 'Other': [{'mal_id': 15335, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare', 'title': 'Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare'}, {'mal_id': 19261, 'type': 'anime', 'url': 'https://myanimelist.net/anime/19261/Gintama_x_Mameshiba', 'title': 'Gintama x Mameshiba'}]}","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha","Sentai Filmworks, Crunchyroll",Sunrise,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","['#01: ""Pray"" by Tommy heavenly6 (eps 1-24)', '#02: ""Tooi Nioi (遠い匂い)"" by YO-KING (eps 25-49)', '#03: ""Giniro no Sora (銀色の空)"" by redballoon (eps 50-75)', '#04: ""Kasanaru Kage (かさなる影)"" by Hearts Grow (eps 76-99)', '#05: ""DONTEN (曇天)"" by DOES (eps 100-125)', '#06: ""Anata MAGIC (アナタMAGIC)"" by monobright (eps 126-150)', '#07: ""Stairway Generation"" by Base Ball Bear (eps 151-176)', '#08: ""Light Infection"" by Prague (eps 177-201)', '#R1: ""Bakuchi Dancer (バクチ・ダンサー)"" by DOES (Yorinuki Gintama-san eps 1-9)', '#R2: ""Kaze no Gotoku (風のごとく)"" by Inoue Joe (Yorinuki Gintama-san eps 10-26)', '#R3: ""Kanousei Girl (可能性ガール)"" by Chiaki Kuriyama (Yorinuki Gintama-san eps 27-39)', '#R4: ""Katoniago (カートニアゴ )"" by FLiP (Yorinuki Gintama-san eps 40-51)']","['#01: ""Fuusen Gum"" by Captain Straydum (eps 1-13)', '#02: ""MR.RAINDROP"" by amplified (eps 14-24)', '#03: ""Yuki no Tsubasa"" by redballoon (eps 25-37)', '#04: ""Candy Line"" by Hitomi Takahashi (eps 38-49)', '#05: ""Shura"" by DOES (eps 50-62)', '#06: ""Kiseki"" by Snowkel (eps 63-75)', '#07: ""SIGNAL"" by KELUN (eps 76-87)', '#08: ""Speed of Flow"" by The Rodeo Carburettor (eps 88-99)', '#09: ""Sanagi"" by POSSIBILITY (eps 100-112)', '#10: ""This World is yours"" by plingmin (eps 113-125)', '#11: ""Ai, Ai, Ai"" by GHOSTNOTE (eps 126-138)', '#12: ""Kagayaita"" by SHIGI (eps 139-150)', '#13: ""Asa Answer"" by PENGIN (eps 151-163)', '#14: ""Wo Ai Ni"" by Hitomi Takahashi feat. Beat Crusaders (eps 164-176)', '#15: ""Wonderful Days"" by ONE☆DRAFT (eps 177-189)', '#16: ""SAYONARA no Sora"" by Qwai (eps 190-201)', '#R1: ""Bokutachi no Kisetsu"" by DOES (Yorinuki Gintama-san eps 1-9)', '#R2: ""Wave"" by Vijandeux (Yorinuki Gintama-san eps 10-26)', '#R3: ""In My Life"" by AZU (Yorinuki Gintama-san eps 27-39)', '#R4: ""Sakurane"" by Piko (Yorinuki Gintama-san eps 40-51)']"
9969,9.0,8.346543162719634,10472,Gintama&#039;,Gintama Season 2,銀魂&#039;,Gintama (2011),https://myanimelist.cdn-dena.com/images/anime/4/50361.jpg,TV,Manga,51,Finished Airing,False,"Apr 4, 2011 to Mar 26, 2012","{'from': '2011-04-04', 'to': '2012-03-26'}",24 min. per ep.,PG-13 - Teens 13 or older,9.11,92025,7.0,342,215527,4549,This is the second season of Gintama. In the episode continuity corresponds to episodes 202-252 of Gintama.,Spring 2011,Mondays at 18:00 (JST),"{'Adaptation': [{'mal_id': 44, 'type': 'manga', 'url': 'https://myanimelist.net/manga/44/Gintama', 'title': 'Gintama'}], 'Prequel': [{'mal_id': 918, 'type': 'anime', 'url': 'https://myanimelist.net/anime/918/Gintama', 'title': 'Gintama'}], 'Character': [{'mal_id': 9863, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9863/SKET_Dance', 'title': 'SKET Dance'}], 'Sequel': [{'mal_id': 15417, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15417/Gintama__Enchousen', 'title': 'Gintama&#039;: Enchousen'}], 'Alternative version': [{'mal_id': 21899, 'type': 'anime', 'url': 'https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D', 'title': 'Gintama: Yorinuki Gintama-san on Theater 2D'}]}","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha",,Sunrise,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","['#1: ""Tougenkyou Alien (桃源郷エイリアン)"" by serial TV drama (eps 1-26)', '#2: ""Dilemma (ジレンマ)"" by ecosystem (eps 27-39)', '#3: ""Wonderland (ワンダーランド)"" by FLiP (eps 40-51)']","['#1: ""Samurai Heart (Some Like It Hot!!)"" by SPYAIR (eps 1-13)', '#2: ""Balance Doll (バランスドール)"" by Prague (eps 14-26)', '#3: ""Anagura (アナグラ)"" by Kuroneko Chelsea (eps 27-39)', '#4: ""Nakama (仲間)"" by Good Coming (eps 40-50)', '#5: ""Tougenkyou Alien (桃源郷エイリアン)"" by serial TV drama (ep 51)']"
