,title,median,mean,my_status
8,Suzumiya Haruhi no Shoushitsu,9.0,8.084904482457235,24027
43,No Game No Life: Zero,9.0,7.817089910775566,5828
44,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,9.0,8.235176131377711,7977
114,The iDOLM@STER Movie: Kagayaki no Mukougawa e!,8.0,6.899932386747802,1479
153,Tamayura: Sotsugyou Shashin Part 2 - Hibiki,8.0,6.808219178082192,365
156,Tamayura: Sotsugyou Shashin Part 3 - Akogare,8.0,6.863636363636363,330
167,Lupin III vs. Detective Conan: The Movie,8.0,6.957095709570957,1212
172,Tamayura: Sotsugyou Shashin Part 4 - Ashita,8.0,7.247588424437299,311
182,Little Witch Academia,8.0,6.979142441860465,13760
195,Hanasaku Iroha: Home Sweet Home,8.0,7.123975409836065,3904
198,Yowamushi Pedal Movie,8.0,6.759146341463414,1312
217,Detective Conan Movie 17: Private Eye in the Distant Sea,8.0,6.496512365250475,1577
223,Saint☆Oniisan (Movie),8.0,6.84913413560317,3407
257,Little Witch Academia: Mahoujikake no Parade,8.0,6.925773760613531,7302
259,Detective Conan Movie 10: Requiem of the Detectives,8.0,6.705061648280338,3082
269,Detective Conan Movie 09: Strategy Above the Depths,8.0,6.469152542372881,2950
284,Boruto: Naruto the Movie,8.0,6.89151157512483,8812
293,Lupin the IIIrd: Jigen Daisuke no Bohyou,8.0,6.996478873239437,852
334,Tamayura: Sotsugyou Shashin Part 1 - Kizashi,8.0,6.733333333333333,420
343,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,8.0,6.685344827586207,2320
350,Lupin III: Cagliostro no Shiro,8.0,7.282645324347094,4748
382,Stand By Me Doraemon,8.0,7.261660978384528,879
397,Uchuu Kyoudai: Number Zero,8.0,6.717391304347826,184
413,Tamako Love Story,8.0,7.1815578465063,6984
414,Detective Conan Movie 08: Magician of the Silver Sky,8.0,6.733414116934262,3301
415,Detective Conan Movie 07: Crossroad in the Ancient Capital,8.0,6.4956030150753765,3184
417,Detective Conan Movie 05: Countdown to Heaven,8.0,6.767104542966612,3654
418,Detective Conan Movie 04: Captured in Her Eyes,8.0,6.709139784946236,3720
422,Gintama: Yorinuki Gintama-san on Theater 2D,8.0,6.889087656529517,1118
