,title,median,mean,my_status
0,Fullmetal Alchemist: Brotherhood,10.0,8.623912907464181,47949
2,Clannad: After Story,10.0,8.414148857774503,37996
3,Gintama°,10.0,8.45272030651341,6525
6,Owarimonogatari 2nd Season,9.0,8.277150916784203,4254
9,Yojouhan Shinwa Taikei,9.0,7.943863511282333,7268
10,Major S6,9.0,7.719706632653061,3136
14,Hajime no Ippo,9.0,8.152150582019319,12113
15,Haikyuu!!,9.0,7.782794417126111,20133
16,Hajime no Ippo: Rising,9.0,7.797678275290216,6030
20,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,9.0,7.827402135231317,7306
23,Hajime no Ippo: New Challenger,9.0,7.906830955469088,9252
31,Cross Game,9.0,8.054731792411689,4586
41,Cowboy Bebop,9.0,8.037854889589905,34236
52,Tengen Toppa Gurren Lagann,9.0,8.18092268092268,40404
55,Bakuman. 3rd Season,9.0,7.971616420782553,12472
56,Uchuu Kyoudai,9.0,8.07276634940129,3257
61,Boku no Hero Academia 2nd Season,9.0,7.729021834916283,20426
62,Gintama&#039;: Enchousen,9.0,8.152987760979121,8334
65,Baccano!,9.0,7.964977784415487,26783
68,Gintama&#039;,9.0,8.346543162719634,10472
70,Bakuman. 2nd Season,9.0,7.770094207255963,14967
72,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,9.0,8.080443481160387,11996
75,Gintama.,9.0,8.048483554036736,4682
77,Monogatari Series: Second Season,9.0,8.003764435653672,15673
81,Clannad,9.0,7.736137044595944,46058
82,Nodame Cantabile,9.0,7.79619894864537,14838
85,Great Teacher Onizuka,9.0,8.102418827631292,22945
87,Gintama,9.0,8.392029868942396,13124
91,Toradora!,9.0,7.78825089357777,52038
92,Gintama.: Shirogane no Tamashii-hen,9.0,7.868803204807211,1997
94,Haikyuu!! Second Season,9.0,7.966055168719872,14936
95,Major S5,9.0,7.77636903156191,3707
97,Nana,9.0,7.891612903225806,15500
102,Beck,9.0,7.7976669906957365,14402
103,Ansatsu Kyoushitsu 2nd Season,9.0,7.764909378055201,13297
104,One Punch Man,9.0,7.9125240558846315,40011
106,Golden Time,8.0,7.170102818176975,18771
109,Uchouten Kazoku,8.0,7.236288504883547,5324
110,Non Non Biyori,8.0,7.252929292929293,9900
111,Salaryman Kintarou,8.0,6.900709219858156,423
122,Kami nomi zo Shiru Sekai: Megami-hen,8.0,7.376740740740741,13500
125,Kuroko no Basket 2nd Season,8.0,7.626034934031302,18721
128,Gin no Saji,8.0,7.426489342321005,10978
131,Kekkaishi,8.0,6.907641196013289,6020
132,Servant x Service,8.0,7.05308775731311,8307
133,Katekyo Hitman Reborn!,8.0,7.630471074980039,13777
136,Kill la Kill,8.0,7.499075721111925,28671
137,Shijou Saikyou no Deshi Kenichi,8.0,7.512461183215224,12559
138,Diamond no Ace,8.0,7.542857142857143,4655
141,Nisekoi,8.0,7.079163179916318,23900
145,Gochuumon wa Usagi desu ka??,8.0,7.0008777062609715,3418
151,Gin no Saji 2nd Season,8.0,7.574940047961631,8340
154,Yamato Nadeshiko Shichihenge♥,8.0,7.071275105091079,10705
162,Yowamushi Pedal,8.0,7.2552119770533094,7147
163,Little Busters!: Refrain,8.0,7.605615362234507,6874
166,Kiniro no Corda: Primo Passo,8.0,6.9,6940
168,Genshiken Nidaime,8.0,6.711739745403111,3535
169,Ushio to Tora (TV),8.0,6.758627121805633,5361
170,Yozakura Quartet: Hana no Uta,8.0,6.6798513405893285,3767
171,Ghost Hunt,8.0,7.269812462189957,11571
178,Tonari no Kaibutsu-kun,8.0,6.90106019269952,28957
188,Minami-ke Tadaima,8.0,6.886618141097425,3572
189,Chibi Maruko-chan,8.0,6.60125260960334,479
192,Kamisama Hajimemashita,8.0,7.051425698484522,13923
199,Mahou Shoujo Lyrical Nanoha StrikerS,8.0,7.02195652173913,4600
200,Saiunkoku Monogatari 2nd Season,8.0,7.177232142857143,2240
202,Dragon Ball Super,8.0,6.9094827586206895,4872
205,Binbougami ga!,8.0,7.137155103134209,11199
206,Ike! Ina-chuu Takkyuubu,8.0,6.845303867403315,724
207,Little Busters!,8.0,6.8969665271966525,9560
208,To LOVE-Ru Darkness,8.0,6.853951735893065,11147
211,Noragami Aragoto,8.0,7.5074962175049285,21811
212,Lucky☆Star,8.0,7.350203163546655,27564
215,Sakurasou no Pet na Kanojo,8.0,7.682961483813986,26041
216,Zero no Tsukaima: Futatsuki no Kishi,8.0,6.883779355543419,27465
218,Chuunibyou demo Koi ga Shitai!,8.0,7.2318895885009225,31446
220,Diamond no Ace: Second Season,8.0,7.645469522240528,3035
221,High School DxD New,8.0,6.839763054407885,20089
222,Nekomonogatari: Kuro,8.0,7.225318950884302,18263
224,Hataraku Maou-sama!,8.0,7.198973620239489,33321
229,Tokyo Ravens,8.0,6.899517755370452,11405
230,Naruto: Shippuuden,8.0,7.546132257498685,11402
237,Prison School,8.0,7.173913043478261,17296
238,Saiunkoku Monogatari,8.0,7.09033465948982,4273
240,Yuru Yuri San☆Hai!,8.0,7.099838969404187,4347
241,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.0,7.2784654335747945,28438
248,Boku wa Tomodachi ga Sukunai Next,8.0,6.924459394521865,20810
249,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,8.0,6.916250502267379,17421
262,Nobunaga Concerto,8.0,7.000470809792843,2124
264,NHK ni Youkoso!,8.0,7.799440298507463,25728
267,Yowamushi Pedal: Grande Road,8.0,7.338317384370016,5016
270,Kuroko no Basket 3rd Season,8.0,7.6198670605613,13540
271,Zero no Tsukaima,8.0,6.868684814502775,34421
272,Kekkai Sensen,8.0,6.823795620437957,13700
276,Yamada-kun to 7-nin no Majo (TV),8.0,7.020175724048161,15365
278,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.0,7.433648913100968,18907
280,Non Non Biyori Repeat,8.0,7.389501312335958,5715
285,Hello!! Kiniro Mosaic,8.0,6.767702659404037,3121
286,Saenai Heroine no Sodatekata,8.0,6.893680413987768,12754
290,Gekkan Shoujo Nozaki-kun,8.0,7.380551067638968,22901
296,Space☆Dandy 2nd Season,8.0,7.259581193204267,5062
299,Ansatsu Kyoushitsu,8.0,7.28888998180298,20333
309,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,8.0,6.966164798298012,24442
314,Kimagure Orange☆Road,8.0,6.771891096394407,1359
317,Tsukimonogatari,8.0,7.293690464962746,10603
318,Lupin III (2015),8.0,7.002044989775051,978
321,Slayers Try,8.0,6.821098087600247,4863
325,Akatsuki no Yona,8.0,7.424658524246586,13837
327,Go! Princess Precure,8.0,7.012787723785166,391
329,Magic Kaito 1412,8.0,7.021347073978653,2717
331,Junjou Romantica 3,8.0,6.64487415592388,3258
332,Kamisama Hajimemashita◎,8.0,7.001089324618737,7344
337,Ore Monogatari!!,8.0,7.3309636650868875,12660
338,Shirobako,8.0,7.774815173918313,8251
339,Working!!!,8.0,7.254049445865302,8211
344,Maison Ikkoku,8.0,7.442140468227425,1495
345,Noragami,8.0,7.269173746935052,35074
351,Seitokai Yakuindomo*,8.0,6.912615532349058,8331
352,Lupin III: Part II,8.0,6.361976369495166,931
355,Lupin III,8.0,6.603359173126615,3096
357,Isshuukan Friends.,8.0,6.935769561478934,11630
361,Hoozuki no Reitetsu,8.0,6.853343661244513,3873
367,No Game No Life,8.0,7.6288026299152865,39545
370,Kodomo no Omocha (TV),8.0,7.022976501305483,1915
371,Akachan to Boku,8.0,6.673252279635259,658
373,D.Gray-man,8.0,7.530325443786983,18928
374,D-Frag!,8.0,6.923297435500116,12907
