,genre,counts
0,Action,500
1,Adventure,489
2,Comedy,479
3,Fantasy,426
4,Drama,387
5,Sci-Fi,354
6,Shounen,295
7,Kids,172
8,Romance,157
9,Supernatural,147
10,Mecha,135
11,Historical,127
12,Dementia,124
13,SliceofLife,112
14,Magic,108
15,Military,101
16,Mystery,93
17,School,83
18,SuperPower,79
19,Seinen,79
20,Shoujo,78
21,Space,77
22,Music,74
23,Sports,71
24,Psychological,67
25,Horror,55
26,Police,50
27,MartialArts,36
28,Demons,28
29,Samurai,26
30,Thriller,23
31,Game,19
32,Parody,18
33,Ecchi,17
34,Vampire,9
35,Cars,9
36,Harem,7
37,Hentai,6
38,ShounenAi,5
39,Josei,2
40,ShoujoAi,1
