anime_id,median,mean,my_status,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme
32281,9.0,8.463504395829073,29346,Kimi no Na wa.,Your Name.,君の名は。,,https://myanimelist.cdn-dena.com/images/anime/5/87048.jpg,Movie,Original,1,Finished Airing,False,"Aug 26, 2016","{'from': '2016-08-26', 'to': '2016-08-26'}",1 hr. 46 min.,PG-13 - Teens 13 or older,9.19,471398,2.0,33,730076,34912,,,,"{'Adaptation': [{'mal_id': 99314, 'type': 'manga', 'url': 'https://myanimelist.net/manga/99314/Kimi_no_Na_wa', 'title': 'Kimi no Na wa.'}, {'mal_id': 111747, 'type': 'manga', 'url': 'https://myanimelist.net/manga/111747/Kimi_no_Na_wa', 'title': 'Kimi no Na wa.'}], 'Other': [{'mal_id': 33902, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33902/Suntory_Minami_Alps_no_Tennen_Mizu', 'title': 'Suntory Minami Alps no Tennen Mizu'}]}","Kadokawa Shoten, Toho, Sound Team Don Juan, Lawson HMV Entertainment, Amuse, East Japan Marketing &amp; Communications","Funimation, NYAV Post",CoMix Wave Films,"Supernatural, Drama, Romance, School","['""Yume Tourou (夢灯籠)"" by RADWIMPS']","['""Nandemonaiya (なんでもないや)"" by RADWIMPS']"
28851,9.0,8.284199573898826,20183,Koe no Katachi,A Silent Voice,聲の形,"The Shape of Voice, A Silent Voice: The Movie",https://myanimelist.cdn-dena.com/images/anime/3/80136.jpg,Movie,Manga,1,Finished Airing,False,"Sep 17, 2016","{'from': '2016-09-17', 'to': '2016-09-17'}",2 hr. 10 min.,PG-13 - Teens 13 or older,9.04,296261,12.0,77,511915,19815,,,,"{'Adaptation': [{'mal_id': 56805, 'type': 'manga', 'url': 'https://myanimelist.net/manga/56805/Koe_no_Katachi', 'title': 'Koe no Katachi'}], 'Other': [{'mal_id': 35565, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35565/Speed_of_Youth', 'title': 'Speed of Youth'}, {'mal_id': 35566, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35566/Koi_wo_Shita_no_wa', 'title': 'Koi wo Shita no wa'}]}","Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras",NYAV Post,Kyoto Animation,"Drama, School, Shounen","['""My Generation (マイ・ジェネレーション)"" by The Who']","['""Koi wo Shita no wa (恋をしたのは)"" by aiko']"
15335,9.0,8.235176131377711,7977,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,,劇場版 銀魂 完結篇 万事屋よ永遠なれ,"Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2",https://myanimelist.cdn-dena.com/images/anime/10/51723.jpg,Movie,Manga,1,Finished Airing,False,"Jul 6, 2013","{'from': '2013-07-06', 'to': '2013-07-06'}",1 hr. 50 min.,PG-13 - Teens 13 or older,9.04,61010,11.0,826,105458,1395,,,,"{'Adaptation': [{'mal_id': 91209, 'type': 'manga', 'url': 'https://myanimelist.net/manga/91209/Gekijouban_Gintama__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare', 'title': 'Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare'}], 'Parent story': [{'mal_id': 918, 'type': 'anime', 'url': 'https://myanimelist.net/anime/918/Gintama', 'title': 'Gintama'}], 'Character': [{'mal_id': 19261, 'type': 'anime', 'url': 'https://myanimelist.net/anime/19261/Gintama_x_Mameshiba', 'title': 'Gintama x Mameshiba'}], 'Sequel': [{'mal_id': 28977, 'type': 'anime', 'url': 'https://myanimelist.net/anime/28977/Gintama°', 'title': 'Gintama°'}]}","TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros., Shueisha",,Sunrise,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",[],"['#1: ""Genjou Destruction (現状ディストラクション)"" by SPYAIR', '#2: ""Pray"" by Tommy heavenly6']"
7311,9.0,8.084904482457235,24027,Suzumiya Haruhi no Shoushitsu,The Disappearance of Haruhi Suzumiya,涼宮ハルヒの消失,"The Vanishment of Haruhi Suzumiya, Suzumiya Haruhi no Syoshitsu, Haruhi Movie",https://myanimelist.cdn-dena.com/images/anime/2/73842.jpg,Movie,Light novel,1,Finished Airing,False,"Feb 6, 2010","{'from': '2010-02-06', 'to': '2010-02-06'}",2 hr. 42 min.,PG-13 - Teens 13 or older,8.73,179475,45.0,181,323704,8525,The film won the Best Theatrical Film award at the 2010 Animation Kobe Awards.,,,"{'Adaptation': [{'mal_id': 3083, 'type': 'manga', 'url': 'https://myanimelist.net/manga/3083/Suzumiya_Haruhi_Series', 'title': 'Suzumiya Haruhi Series'}], 'Prequel': [{'mal_id': 4382, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4382/Suzumiya_Haruhi_no_Yuuutsu_2009', 'title': 'Suzumiya Haruhi no Yuuutsu (2009)'}], 'Alternative version': [{'mal_id': 26351, 'type': 'anime', 'url': 'https://myanimelist.net/anime/26351/Nagato_Yuki-chan_no_Shoushitsu', 'title': 'Nagato Yuki-chan no Shoushitsu'}]}","Kadokawa Shoten, Animation Do","Funimation, Bandai Entertainment",Kyoto Animation,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural","['""Bouken Desho Desho? (冒険でしょでしょ?)"" by Aya Hirano']","['""Yasashii Boukyaku (優しい忘却)"" by Minori Chihara']"
12355,9.0,8.069302659956865,20865,Ookami Kodomo no Ame to Yuki,Wolf Children,おおかみこどもの雨と雪,The Wolf Children Ame and Yuki,https://myanimelist.cdn-dena.com/images/anime/9/35721.jpg,Movie,Original,1,Finished Airing,False,"Jul 21, 2012","{'from': '2012-07-21', 'to': '2012-07-21'}",1 hr. 57 min.,PG - Children,8.77,204744,34.0,148,357883,7087,"Ookami Kodomo no Ame to Yuki  won the 2013 Japan Academy Prize for Animation of the Year, the 2012 Mainichi Film Award for Best Animation Film, and the 2013 Animation of the Year award at the Tokyo International Anime Fair. It won two awards at the Oslo Films from the South festival in Norway: the main award, the Silver Mirror, and the audience award. It won an Audience Award at 2013 New York International Children&#039;s Film Festival and the 2014 Best Anime Disc award from Home Media Magazine.",,,"{'Adaptation': [{'mal_id': 40761, 'type': 'manga', 'url': 'https://myanimelist.net/manga/40761/Ookami_Kodomo_no_Ame_to_Yuki', 'title': 'Ookami Kodomo no Ame to Yuki'}], 'Other': [{'mal_id': 37418, 'type': 'anime', 'url': 'https://myanimelist.net/anime/37418/Ookami_Kodomo_no_Ame_to_Yuki_x_House_Shokuhin_Stew_CM', 'title': 'Ookami Kodomo no Ame to Yuki x House Shokuhin Stew CM'}]}","Madhouse, VAP, Dentsu, Yomiuri Telecasting, Kadokawa Shoten, Toho, Hiroshima Television",Funimation,Studio Chizu,"Slice of Life, Fantasy",[],"['""Okaa-san no Uta (おかあさんの唄)"" by Ann Sally']"
31758,9.0,7.997804054054054,5920,Kizumonogatari III: Reiketsu-hen,,傷物語〈Ⅲ冷血篇〉,"Koyomi Vamp, Kizumonogatari Part 3",https://myanimelist.cdn-dena.com/images/anime/8/82911.jpg,Movie,Light novel,1,Finished Airing,False,"Jan 6, 2017","{'from': '2017-01-06', 'to': '2017-01-06'}",1 hr. 23 min.,R - 17+ (violence & profanity),8.87,62314,23.0,649,129997,1541,,,,"{'Adaptation': [{'mal_id': 14893, 'type': 'manga', 'url': 'https://myanimelist.net/manga/14893/Monogatari_Series__First_Season', 'title': 'Monogatari Series: First Season'}], 'Sequel': [{'mal_id': 15689, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15689/Nekomonogatari__Kuro', 'title': 'Nekomonogatari: Kuro'}], 'Prequel': [{'mal_id': 31757, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen', 'title': 'Kizumonogatari II: Nekketsu-hen'}]}","Aniplex, Kodansha",,Shaft,"Action, Mystery, Supernatural, Vampire",[],"['""étoile et toi [édition le blanc]"" by Clémentine & Ainhoa']"
199,9.0,7.915685608633311,53004,Sen to Chihiro no Kamikakushi,Spirited Away,千と千尋の神隠し,Sen and Chihiro&#039;s Spiriting Away,https://myanimelist.cdn-dena.com/images/anime/6/79597.jpg,Movie,Original,1,Finished Airing,False,"Jul 20, 2001","{'from': '2001-07-20', 'to': '2001-07-20'}",2 hr. 5 min.,PG - Children,8.92,498602,19.0,39,705769,15412,"Sen to Chihiro no Kamikakushi is the highest grossing film in Japanese history, with a total of ￥30.4 billion from Japanese box office sales alone. It is also the most successful film to debut from Japan, with a total of $289 million worldwide. This critically acclaimed film has won numerous awards, including the Academy Award, more commonly known as ""Oscar"", for Best Animated Feature at the 75th Academy Awards in 2003, as well as the Golden Bear at the 2002 Berlin International Film Festival (alongside Bloody Sunday). It is also among the top ten in the British Film Institute&#039;s list of the ""50 films you should see by the age of 14"". The English version of Sen to Chihiro no Kamikakushi was dubbed by Walt Disney Pictures and premiered in 2002. The film was released on DVD and VHS formats in North America by Buena Vista Home Entertainment in 2003.",,,[],Toho,"Walt Disney Studios, GKIDS",Studio Ghibli,"Adventure, Supernatural, Drama","['""Day of the River/Ano hi no kawa"" by Joe Hisaishi']","['""Itsumo Nando demo (Always with Me)"" by Yumi Kimura']"
10408,9.0,7.827021029804832,19829,Hotarubi no Mori e,,蛍火の杜へ,"Into the Forest of Fireflies&#039; Light, The Light of a Firefly Forest",https://myanimelist.cdn-dena.com/images/anime/8/38229.jpg,Movie,Manga,1,Finished Airing,False,"Sep 17, 2011","{'from': '2011-09-17', 'to': '2011-09-17'}",45 min.,G - All Ages,8.55,174657,84.0,196,312545,5582,,,,"{'Adaptation': [{'mal_id': 3282, 'type': 'manga', 'url': 'https://myanimelist.net/manga/3282/Hotarubi_no_Mori_e', 'title': 'Hotarubi no Mori e'}, {'mal_id': 101004, 'type': 'manga', 'url': 'https://myanimelist.net/manga/101004/Aizoban_Hotarubi_no_Mori_e', 'title': 'Aizoban Hotarubi no Mori e'}]}",Aniplex,,Brain&#039;s Base,"Drama, Romance, Shoujo, Supernatural",[],"['""Natsu wo Miteita (夏を見ていた)"" by Shizuru Ootaka']"
33674,9.0,7.817089910775566,5828,No Game No Life: Zero,,ノーゲーム・ノーライフ ゼロ,"NGNL Zero, NGNL the Movie",https://myanimelist.cdn-dena.com/images/anime/1085/90759.jpg,Movie,Light novel,1,Finished Airing,False,"Jul 15, 2017","{'from': '2017-07-15', 'to': '2017-07-15'}",1 hr. 46 min.,PG-13 - Teens 13 or older,8.74,78743,40.0,320,225372,3008,,,,"{'Adaptation': [{'mal_id': 48399, 'type': 'manga', 'url': 'https://myanimelist.net/manga/48399/No_Game_No_Life', 'title': 'No Game No Life'}], 'Sequel': [{'mal_id': 19815, 'type': 'anime', 'url': 'https://myanimelist.net/anime/19815/No_Game_No_Life', 'title': 'No Game No Life'}], 'Other': [{'mal_id': 37402, 'type': 'anime', 'url': 'https://myanimelist.net/anime/37402/No_Game_No_Life__Zero_-_Manner_Movie', 'title': 'No Game No Life: Zero - Manner Movie'}]}",,Sentai Filmworks,Madhouse,"Comedy, Ecchi, Fantasy, Game, Supernatural",[],"['""THERE IS A REASON"" by Konomi Suzuki']"
31757,9.0,7.79918805277657,6897,Kizumonogatari II: Nekketsu-hen,Kizumonogatari Part 2: Nekketsu,傷物語〈Ⅱ熱血篇〉,"Koyomi Vamp, Kizumonogatari Part 2",https://myanimelist.cdn-dena.com/images/anime/8/80930.jpg,Movie,Light novel,1,Finished Airing,False,"Aug 19, 2016","{'from': '2016-08-19', 'to': '2016-08-19'}",1 hr. 4 min.,R - 17+ (violence & profanity),8.69,71298,48.0,612,136327,771,,,,"{'Adaptation': [{'mal_id': 14893, 'type': 'manga', 'url': 'https://myanimelist.net/manga/14893/Monogatari_Series__First_Season', 'title': 'Monogatari Series: First Season'}], 'Prequel': [{'mal_id': 9260, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9260/Kizumonogatari_I__Tekketsu-hen', 'title': 'Kizumonogatari I: Tekketsu-hen'}], 'Sequel': [{'mal_id': 31758, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen', 'title': 'Kizumonogatari III: Reiketsu-hen'}]}","Aniplex, Kodansha",Aniplex of America,Shaft,"Action, Mystery, Supernatural, Vampire",[],"['""étoile et toi"" by Clémentine']"
