anime_id,median,mean,my_status,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme
199,9.0,7.915685608633311,53004,Sen to Chihiro no Kamikakushi,Spirited Away,千と千尋の神隠し,Sen and Chihiro&#039;s Spiriting Away,https://myanimelist.cdn-dena.com/images/anime/6/79597.jpg,Movie,Original,1,Finished Airing,False,"Jul 20, 2001","{'from': '2001-07-20', 'to': '2001-07-20'}",2 hr. 5 min.,PG - Children,8.92,498602,19.0,39,705769,15412,"Sen to Chihiro no Kamikakushi is the highest grossing film in Japanese history, with a total of ￥30.4 billion from Japanese box office sales alone. It is also the most successful film to debut from Japan, with a total of $289 million worldwide. This critically acclaimed film has won numerous awards, including the Academy Award, more commonly known as ""Oscar"", for Best Animated Feature at the 75th Academy Awards in 2003, as well as the Golden Bear at the 2002 Berlin International Film Festival (alongside Bloody Sunday). It is also among the top ten in the British Film Institute&#039;s list of the ""50 films you should see by the age of 14"". The English version of Sen to Chihiro no Kamikakushi was dubbed by Walt Disney Pictures and premiered in 2002. The film was released on DVD and VHS formats in North America by Buena Vista Home Entertainment in 2003.",,,[],Toho,"Walt Disney Studios, GKIDS",Studio Ghibli,"Adventure, Supernatural, Drama","['""Day of the River/Ano hi no kawa"" by Joe Hisaishi']","['""Itsumo Nando demo (Always with Me)"" by Yumi Kimura']"
431,9.0,7.750441509340099,40203,Howl no Ugoku Shiro,Howl&#039;s Moving Castle,ハウルの動く城,,https://myanimelist.cdn-dena.com/images/anime/5/75810.jpg,Movie,Novel,1,Finished Airing,False,"Nov 20, 2004","{'from': '2004-11-20', 'to': '2004-11-20'}",1 hr. 57 min.,G - All Ages,8.73,334114,43.0,89,481313,9753,"Howl No Ugoku Shiro premiered at the Venice Film Festival in 2004 and was later released to Japanese theaters in November, making it one of only three Studio Ghibli films not to be released in July. In 2004 the film won the Osella Awards for Technical Achievement in the 61st Venice Film Festival, the Best Japanese Movie Overall in the Mainichi Film Awards and an Excellence Prize, Animation in the Japan Media Arts Festival.  In 2005 the film won the Animation of the Year in the Tokyo International Anime Fair and the Audience Award in the Maui Film Festival. In 2006 it was nominated for the Best Animated Feature in the 78th Academy Award, but lost to the movie Wallace and Gromit: The Curse of the Were-Rabbit.",,,[],"d-rights, Tokuma Shoten",Walt Disney Studios,Studio Ghibli,"Adventure, Drama, Fantasy, Romance","['""Sekai no Yakusoku (世界の約束; The Promise of the World)"" by Chieko Baisho']",[]
164,9.0,7.794404020310946,38206,Mononoke Hime,Princess Mononoke,もののけ姫,Mononoke Hime,https://myanimelist.cdn-dena.com/images/anime/7/75919.jpg,Movie,Original,1,Finished Airing,False,"Jul 12, 1997","{'from': '1997-07-12', 'to': '1997-07-12'}",2 hr. 10 min.,PG-13 - Teens 13 or older,8.8,333730,29.0,79,507499,10689,"In 1997 the film won Best Japanese Movie, Best Animation and Japanese Movie Fans&#039; Choice awards during the 52nd Mainichi Film Awards. In 1998 the film won the Best Picture award during the 21st Japan Academy Awards.",,,[],"Tokuma Shoten, Nippon Television Network",GKIDS,Studio Ghibli,"Action, Adventure, Fantasy","['""Ashitaka Sekki (アシタカせっき; The Legend of Ashitaka)"" by Joe Hisaishi']","['""Mononoke Hime"" by Joe Hisaishi']"
1689,8.0,7.400101379291946,37483,Byousoku 5 Centimeter,5 Centimeters Per Second,秒速５センチメートル,"Five Centimeters Per Second, Byousoku 5 Centimeter - a chain of short stories about their distance, 5 Centimetres Per Second, 5 cm per second",https://myanimelist.cdn-dena.com/images/anime/6/73426.jpg,Movie,Original,3,Finished Airing,False,"Mar 3, 2007","{'from': '2007-03-03', 'to': '2007-03-03'}",22 min. per ep.,PG-13 - Teens 13 or older,7.95,280982,610.0,96,457791,7832,"Byousoku 5 Centimeter was completed on January 22, 2007. The first of three parts was available for streaming on Yahoo! Japan exclusively for its premium users between February 16 and 19. The complete film was released on March 3, 2007.The film won the 2007 Asia Pacific Screen Award for Best Animated Feature Film.",,,"{'Adaptation': [{'mal_id': 23419, 'type': 'manga', 'url': 'https://myanimelist.net/manga/23419/Byousoku_5_Centimeter', 'title': 'Byousoku 5 Centimeter'}, {'mal_id': 34841, 'type': 'manga', 'url': 'https://myanimelist.net/manga/34841/Byousoku_5_Centimeter', 'title': 'Byousoku 5 Centimeter'}], 'Summary': [{'mal_id': 22539, 'type': 'anime', 'url': 'https://myanimelist.net/anime/22539/One_More_Time_One_More_Chance', 'title': 'One More Time, One More Chance'}]}",,"ADV Films, Bandai Entertainment, Discotek Media, Crunchyroll",CoMix Wave Films,"Drama, Romance, Slice of Life",[],"['""One more time, one more chance"" by Masayoshi Yamazaki']"
2236,8.0,7.747045467776678,34354,Toki wo Kakeru Shoujo,The Girl Who Leapt Through Time,時をかける少女,"Toki wo Kakeru Shojo, TokiKake, Toki o Kakeru Shojo, The Girl Who Cut Time, The Little Girl Who Conquered Time",https://myanimelist.cdn-dena.com/images/anime/1/2432.jpg,Movie,Novel,1,Finished Airing,False,"Jul 15, 2006","{'from': '2006-07-15', 'to': '2006-07-15'}",1 hr. 38 min.,PG - Children,8.35,249571,194.0,113,411479,4395,"&ldquo;Toki wo Kakeru Shojo&rdquo; is a juvenile novel written by Tsutsui Yasutaka. It became TV drama, movie, and Manga several times. However, this is the first time to become anime. The main character, Konno Makoto, is brighter and more easygoing than any other characters in movie or TV drama made before. At once she knows she acquires the power of &ldquo;time leap&rdquo;. She uses it without hesitation to satisfy her own desire.In 2006 the film won the Best Animated Film in the Sitges Film Festival. In 2007 it won the Animation of the Year during the Japan Academy Prize. Also during the Tokyo Anime Awards it won the Animation of the Year and the Best Original Story/Work. The staff that worked for the film won the Director Award, the Script-writing Award, the Achievement in Art Direction and the Character Design Award. It won the Animation Grand Award, given to the year&#039;s most entertaining animated film, at the prestigious sixty-first Annual Mainichi Film Awards. It received the Grand Prize in the animation division at the 2006 Japan Media Arts Festival. The film won the Special Distinction for Feature Film at France&#039;s thirty-first Annecy International Animated Film Festival on June 16, 2007.",,,"{'Adaptation': [{'mal_id': 4171, 'type': 'manga', 'url': 'https://myanimelist.net/manga/4171/Toki_wo_Kakeru_Shoujo', 'title': 'Toki wo Kakeru Shoujo'}, {'mal_id': 9256, 'type': 'manga', 'url': 'https://myanimelist.net/manga/9256/Toki_wo_Kakeru_Shoujo__Tokikake', 'title': 'Toki wo Kakeru Shoujo: Tokikake'}]}","Kadokawa Shoten, Bandai, Memory-Tech, Happinet Pictures","Funimation, Bandai Entertainment, Kadokawa Pictures USA",Madhouse,"Sci-Fi, Adventure, Drama, Romance","['""夏空～オープニング・テーマ～ (Summer Sky ~ Opening Theme~)"" by Kiyoshi Yoshida']","['""Garnet (ガーネット)"" by Oku Hanako']"
523,8.0,7.436939313984169,30320,Tonari no Totoro,My Neighbor Totoro,となりのトトロ,My Neighbour Totoro,https://myanimelist.cdn-dena.com/images/anime/4/75923.jpg,Movie,Original,1,Finished Airing,False,"Apr 16, 1988","{'from': '1988-04-16', 'to': '1988-04-16'}",1 hr. 26 min.,G - All Ages,8.45,262204,135.0,118,404788,4194,"In 1988, Tonari no Totoro won the Best Film and Ofuji Noburo awards in the Mainichi Film Awards, the Special Award in the 31st Blue Ribbon Awards, the Grand Prix in the Animage Anime Awards, and the Best Film and Reader&#039;s Choice Award: Best Japanese Film awards in the Kinema Junpo Awards.",,,"{'Spin-off': [{'mal_id': 2488, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2488/Mei_to_Koneko_Bus', 'title': 'Mei to Koneko Bus'}]}",Studio Fantasia,"Walt Disney Studios, GKIDS",Studio Ghibli,"Adventure, Comedy, Supernatural","['""Sanpo (さんぽ; Stroll)"" by Azumi Inoue']","['""Tonari no Totoro (となりのトトロ; My Neighbor Totoro)"" by Azumi Inoue']"
32281,9.0,8.463504395829073,29346,Kimi no Na wa.,Your Name.,君の名は。,,https://myanimelist.cdn-dena.com/images/anime/5/87048.jpg,Movie,Original,1,Finished Airing,False,"Aug 26, 2016","{'from': '2016-08-26', 'to': '2016-08-26'}",1 hr. 46 min.,PG-13 - Teens 13 or older,9.19,471398,2.0,33,730076,34912,,,,"{'Adaptation': [{'mal_id': 99314, 'type': 'manga', 'url': 'https://myanimelist.net/manga/99314/Kimi_no_Na_wa', 'title': 'Kimi no Na wa.'}, {'mal_id': 111747, 'type': 'manga', 'url': 'https://myanimelist.net/manga/111747/Kimi_no_Na_wa', 'title': 'Kimi no Na wa.'}], 'Other': [{'mal_id': 33902, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33902/Suntory_Minami_Alps_no_Tennen_Mizu', 'title': 'Suntory Minami Alps no Tennen Mizu'}]}","Kadokawa Shoten, Toho, Sound Team Don Juan, Lawson HMV Entertainment, Amuse, East Japan Marketing &amp; Communications","Funimation, NYAV Post",CoMix Wave Films,"Supernatural, Drama, Romance, School","['""Yume Tourou (夢灯籠)"" by RADWIMPS']","['""Nandemonaiya (なんでもないや)"" by RADWIMPS']"
430,8.0,6.930437720549591,26638,Fullmetal Alchemist: The Conqueror of Shamballa,Fullmetal Alchemist: The Movie - Conqueror of Shamballa,劇場版 鋼の錬金術師 シャンバラを征く者,"Gekijyouban Hagane no Renkinjutsushi - Shanbara wo Yuku Mono, Fullmetal Alchemist the Movie: Conqueror of Shamballa, FMA Movie",https://myanimelist.cdn-dena.com/images/anime/4/20113.jpg,Movie,Manga,1,Finished Airing,False,"Jul 23, 2005","{'from': '2005-07-23', 'to': '2005-07-23'}",1 hr. 45 min.,PG-13 - Teens 13 or older,7.69,146690,1128.0,327,221825,590,"Fullmetal Alchemist: The Conqueror of Shamballa won the Best Animation Film Award in the 2005 Mainichi Film Awards, the Animation of the Year and Best Original Story awards in the 5th Tokyo International Anime Fair, and the Best Animated Film prize in the 2006 Fantasia International Film Festival.",,,"{'Prequel': [{'mal_id': 121, 'type': 'anime', 'url': 'https://myanimelist.net/anime/121/Fullmetal_Alchemist', 'title': 'Fullmetal Alchemist'}], 'Spin-off': [{'mal_id': 908, 'type': 'anime', 'url': 'https://myanimelist.net/anime/908/Fullmetal_Alchemist__Premium_Collection', 'title': 'Fullmetal Alchemist: Premium Collection'}]}","Aniplex, Square Enix, Shochiku, Mainichi Broadcasting System",Funimation,Bones,"Military, Comedy, Historical, Drama, Fantasy, Shounen","['""Link"" by L&#039;Arc~en~Ciel']","['""Lost Heaven"" by L&#039;Arc~en~Ciel']"
32,8.0,7.374434299325129,25190,Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion: The End of Evangelion,新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION,Shinseiki Evangelion Gekijouban: The End of Evangelion,https://myanimelist.cdn-dena.com/images/anime/12/39305.jpg,Movie,Original,1,Finished Airing,False,"Jul 19, 1997","{'from': '1997-07-19', 'to': '1997-07-19'}",1 hr. 27 min.,R+ - Mild Nudity,8.48,193744,113.0,216,295923,8159,"Shinseiki Evangelion Gekijouban: The End of Evangelion is an alternate version of the series ending, which either supplements or replaces episodes 25 and 26, depending on how they are viewed.The movie was awarded the Animage Anime Grand Prix prize for 1997, the Japan Academy Prize for Biggest Public Sensation of the Year, and Special Audience Choice Award by the 1997 Animation Kobe.",,,"{'Prequel': [{'mal_id': 30, 'type': 'anime', 'url': 'https://myanimelist.net/anime/30/Neon_Genesis_Evangelion', 'title': 'Neon Genesis Evangelion'}]}","TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka",Manga Entertainment,"Gainax, Production I.G","Sci-Fi, Dementia, Psychological, Drama, Mecha",[],"['""Thanatos -If I Can&#039;t Be Yours-"" by Loren & Mash']"
5681,8.0,7.627692807010426,24649,Summer Wars,Summer Wars,サマーウォーズ,,https://myanimelist.cdn-dena.com/images/anime/10/15796.jpg,Movie,Original,1,Finished Airing,False,"Aug 1, 2009","{'from': '2009-08-01', 'to': '2009-08-01'}",1 hr. 54 min.,PG-13 - Teens 13 or older,8.22,179206,294.0,212,300114,2992,Director Hosoda Mamoru chose Ueda in Nagano Prefecture as the setting for Summer Wars because of its proximity to his birthplace. The film earned over 18 million USD in worldwide box offices and won the Japanese Academy Award for Animation of the Year in 2010. Hosoda became only the second Japanese director (after Miyazaki Hayao) to be nominated for an Annie Award for his work on Summer Wars.Summer Wars was the first Japanese animated movie to be nominated for the Golden Leopard Award at the Locarno International Film Festival in Switzerland in 2009. The movie also won the Anaheim International Film Festival&#039;s Audience Award for Best Animated Feature and the Animation Division Grand Prize at the 13th Japan Media Arts Festival.,,,"{'Adaptation': [{'mal_id': 33357, 'type': 'manga', 'url': 'https://myanimelist.net/manga/33357/Summer_Wars', 'title': 'Summer Wars'}]}","VAP, Yomiuri Telecasting, Kadokawa Shoten, Nippon Television Network","Funimation, Warner Bros., GKIDS",Madhouse,"Sci-Fi, Comedy",[],"['""Bokura no Natsu no Yume"" by Tatsuro Yamashita.']"
